GEOID,Neighborhoods_Code
"36081046200",Jamaica
"36081045000",Briarwood-Jamaica Hills
"36081045400",Briarwood-Jamaica Hills
"36081045500",Corona
"36081045600",Briarwood-Jamaica Hills
"36081044602",Jamaica
"36081044800",Briarwood-Jamaica Hills
"36081045800",Jamaica Estates-Holliswood
"36081046600",Jamaica Estates-Holliswood
"36081046300",Elmhurst
"36081046400",Jamaica Estates-Holliswood
"36081046500",Elmhurst
"36081046700",Elmhurst
"36081046800",Jamaica
"36081046900",Elmhurst
"36081047300",Elmhurst
"36081047000",Jamaica
"36081047100",Elmhurst
"36081047200",Jamaica Estates-Holliswood
"36081047500",Elmhurst
"36081004500",Astoria
"36081004700",Astoria
"36081005000",Ozone Park
"36081005300",Astoria
"36081036700",East Elmhurst
"36081005400",Ozone Park
"36081005800",Ozone Park
"36081006100",Astoria
"36081030904",Jackson Heights
"36081043702",Corona
"36081044301",Corona
"36081036500",East Elmhurst
"36081036600",St. Albans
"36081035800",Laurelton
"36081036800",St. Albans
"36081037100",East Elmhurst
"36081037300",East Elmhurst
"36081037600",St. Albans
"36081038100",North Corona
"36081008100",Old Astoria
"36081007700",Astoria
"36081008600",Ozone Park
"36081008700",Old Astoria
"36081008800",Ozone Park
"36081007900",Old Astoria
"36081008300",Old Astoria
"36081009100",Old Astoria
"36081009400",South Ozone Park
"36081009500",Steinway
"36081009600",South Ozone Park
"36081009800",South Ozone Park
"36081010600",South Ozone Park
"36081009900",park-cemetery-etc-Queens
"36081034700",Jackson Heights
"36081035200",St. Albans
"36081035300",East Elmhurst
"36081043900",Corona
"36081044000",South Jamaica
"36081044601",Jamaica
"36081007500",Astoria
"36081006300",Astoria
"36081007100",Old Astoria
"36081010000",South Ozone Park
"36081010300",Steinway
"36081010500",Steinway
"36081010701",Steinway
"36081011000",Richmond Hill
"36081011200",Richmond Hill
"36081011300",Steinway
"36081010200",South Ozone Park
"36081011500",Steinway
"36081011700",Steinway
"36081011800",Richmond Hill
"36085014605",Great Kills
"36085014606",Great Kills
"36085015100",Westerleigh
"36085015601",Great Kills
"36085015602",Annadale-Huguenot-Prince's Bay-Eltingville
"36085015603",Great Kills
"36085016901",Westerleigh
"36085000800",Stapleton-Rosebank
"36085014700",Westerleigh
"36085020100",Westerleigh
"36085031902",Mariner's Harbor-Arlington-Port Ivory-Graniteville
"36085000300",West New Brighton-New Brighton-St. George
"36085000600",Stapleton-Rosebank
"36085001100",West New Brighton-New Brighton-St. George
"36085002900",Stapleton-Rosebank
"36085001700",Stapleton-Rosebank
"36085002002",Grasmere-Arrochar-Ft. Wadsworth
"36085002100",Stapleton-Rosebank
"36085003300",Grymes Hill-Clifton-Fox Hills
"36085017700",Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
"36085017005",Annadale-Huguenot-Prince's Bay-Eltingville
"36085017007",Arden Heights
"36085017008",Arden Heights
"36085017300",New Springville-Bloomfield-Travis
"36085017600",Annadale-Huguenot-Prince's Bay-Eltingville
"36047076400",Flatbush
"36047010400",Sunset Park East
"36047051300",North Side-South Side
"36047040700",park-cemetery-etc-Brooklyn
"36047014300",Park Slope-Gowanus
"36047018400",Bensonhurst West
"36047029600",Bensonhurst West
"36047028300",Stuyvesant Heights
"36047015500",Park Slope-Gowanus
"36047021300",Crown Heights South
"36047038100",Crown Heights North
"36047070600",Georgetown-Marine Park-Bergen Beach-Mill Basin
"36047008000",Sunset Park West
"36047114202",Cypress Hills-City Line
"36047005601",Bay Ridge
"36047003600",Bay Ridge
"36047093800",Rugby-Remsen Village
"36047064800",Georgetown-Marine Park-Bergen Beach-Mill Basin
"36047025902",Bedford
"36047034000",Seagate-Coney Island
"36047086600",Rugby-Remsen Village
"36047110600",East New York
"36047117601",Cypress Hills-City Line
"36047059402",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047043600",Bensonhurst East
"36047057200",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047053200",Midwood
"36047050202",Windsor Terrace
"36047050400",Windsor Terrace
"36047050500",East Williamsburg
"36047050600",Flatbush
"36047050700",Bedford
"36047051100",East Williamsburg
"36047051200",Flatbush
"36047075000",Midwood
"36047018800",Bensonhurst West
"36047025800",Bensonhurst West
"36047049500",East Williamsburg
"36047088800",Rugby-Remsen Village
"36047011800",Sunset Park East
"36047022900",Clinton Hill
"36047040100",Bushwick South
"36047112000",East New York
"36047058600",Sheepshead Bay-Gerritsen Beach-Manhattan Beach
"36047005800",Bay Ridge
"36047014000",Dyker Heights
"36047014800",Dyker Heights
"36047021500",Prospect Heights
"36047064200",Madison
"36047030900",Crown Heights North
"36047082400",Erasmus
"36047038500",Stuyvesant Heights
